model,start_utc,end_utc,end_type,seconds,minutes,session_tools,event_tools,normal_complete
Codex,2026-09-09T05:09:22.349Z,2026-09-09T05:21:42.814Z,PM最终报告成功,740.465,12.341,62,62,True
豆包,2026-09-09T05:44:04.472Z,2026-09-09T06:06:03.949Z,PM最终报告成功,1319.477,21.991,51,82,True
DeepSeek,2026-09-09T06:55:33.915Z,2026-09-09T07:34:54.931Z,PM最终报告成功,2361.016,39.35,287,287,True
Kimi,2026-09-09T08:08:54.789Z,2026-09-09T08:40:38.191Z,强制终止,1903.402,31.723,38,38,False
千问,2026-09-09T08:49:53.862Z,2026-09-09T10:52:03.679Z,强制终止,7329.817,122.164,476,476,False
Cursor,2026-09-09T13:44:11.690Z,2026-09-09T14:04:27.307Z,PM最终报告成功,1215.617,20.26,105,105,True
